Voltage_0,Voltage_1
0.896948,0.8847
0.898237,0.905328
0.894047,0.932725
0.895014,0.970114
0.893725,1.02104
0.892758,1.074867
0.890824,1.116446
0.891791,1.121925
0.891468,1.105487
0.889857,1.06971
0.891791,1.023941
0.887601,0.978816
0.888568,0.94175
0.8847,0.910485
0.884377,0.884377
0.885344,0.85408
0.883088,0.834418
0.884055,0.821203
0.885022,0.819914
0.881477,0.833129
0.877609,0.85698
0.879543,0.88889
0.878253,0.936593
0.879865,0.981395
0.879865,1.036833
0.878576,1.084859
0.874063,1.115157
0.876319,1.124504
0.877609,1.111289
0.875353,1.076801
0.876964,1.029742
0.875997,0.976238
0.873741,0.919832
0.872452,0.87922
0.873419,0.857303
0.877286,0.851823
0.871485,0.859881
0.874063,0.86665
0.873419,0.870195
0.872129,0.880187
0.870518,0.896948
0.870518,0.919832
0.871162,0.939494
0.868906,0.951742
0.869551,0.953998
0.87084,0.948196
0.868262,0.938527
0.872129,0.916931
0.869873,0.909518
0.87084,0.906617
0.871485,0.90984
0.869873,0.914353
0.870195,0.918221
0.867617,0.918865
0.869873,0.914675
0.867295,0.914353
0.868906,0.900493
0.869228,0.893725
0.865683,0.895336
0.869228,0.90146
0.867939,0.910163
0.868584,0.920155
0.867939,0.924667
0.866972,0.936915
0.867617,0.944328
0.868906,0.953031
0.871162,0.969469
0.870518,0.991709
0.871807,1.012337
0.868584,1.019428
0.871485,1.003312
0.868906,0.972048
0.868262,0.953031
0.869551,0.930469
0.869873,0.915964
0.867295,0.903716
0.869551,0.891146
0.870195,0.880832
0.867617,0.877931
0.869873,0.881477
0.867295,0.912097
0.870518,0.970758
0.870518,1.05166
0.874063,1.138686
0.872129,1.213786
0.871162,1.247629
,
2,
100,100
20-10-23,20-10-23
27:29.7,27:29.7
Volts,Volts
Time,Time
9.00E-01,9.00E-01
0.001,0.001
,
Voltage,Voltage_0
0.871162,1.232802
0.874063,1.174785
0.872129,1.089693
0.872129,0.997188
0.869551,0.917898
0.876642,0.85698
0.873096,0.811211
0.870195,0.77769
0.872774,0.765442
0.872774,0.772533
0.872774,0.788005
0.873419,0.820881
0.874386,0.850534
0.876319,0.875675
0.875353,0.890179
0.876319,0.892113
0.87922,0.893402
0.876319,0.899204
0.876964,0.908873
0.876642,0.916931
0.876319,0.915642
0.877286,0.908873
0.87503,0.896625
0.877609,0.881477
0.876319,0.860848
0.878576,0.847633
0.878253,0.842154
0.87922,0.845699
0.880187,0.855691
0.880832,0.865038
0.878898,0.871162
0.881154,0.876642
0.882443,0.889857
0.880187,0.88889
0.881477,0.89308
0.88051,0.900493
0.882766,0.910163
0.883088,0.922411
0.881799,0.93337
0.882443,0.936593
0.881477,0.947229
0.886311,0.956576
0.8847,0.959155
0.887601,0.956254
0.8847,0.94594
0.886634,0.928535
0.8847,0.909196
0.883733,0.885022
0.885022,0.861171
0.8847,0.838286
0.881477,0.818625
0.884377,0.812178
0.885667,0.821203
0.882121,0.845055
0.8847,0.866972
0.880187,0.909196
0.884055,0.962056
0.885667,1.022329
0.885667,1.0739
0.885989,1.105487
0.885344,1.121603
0.884055,1.126438
0.884055,1.116123
0.885667,1.092272
0.879865,1.059396
0.885344,1.03361
0.883733,1.000412
0.880832,0.974304
0.87922,0.953998
0.88051,0.938204
0.877286,0.930146
0.879865,0.940461
0.877931,0.965601
0.87922,1.008792
0.877286,1.062619
0.876319,1.098396
0.877286,1.115479
0.876964,1.119347
0.877286,1.10452
0.87922,1.06552
0.876319,1.011693
0.876964,0.955287
0.875675,0.907262
0.874386,0.864394
0.871807,0.830873
0.875675,0.805087
0.872774,0.785748
0.872452,0.772856
0.872774,0.764475
0.870518,0.74836
0.872774,0.746103
0.874708,0.752227
0.873096,0.765765
0.869551,0.788649
0.872129,0.820236
0.872452,0.868906
0.869551,0.905006
0.871485,0.951742
0.866972,0.999122
0.869228,1.038767
,
2,
100,100
20-10-23,20-10-23
27:29.8,27:29.8
Volts,Volts
Time,Time
1.00E+00,1.00E+00
0.001,0.001
,
Voltage,Voltage_0
0.871807,1.065842
0.869873,1.078735
0.871162,1.072611
0.868584,1.04747
0.867617,0.993321
0.871162,0.944973
0.86665,0.901783
0.868906,0.866005
0.869873,0.837964
0.867939,0.816046
0.867617,0.802509
0.866972,0.804765
0.868262,0.815402
0.866005,0.837319
0.862782,0.869551
0.862138,0.907584
0.863104,0.955287
0.862782,1.01685
0.864394,1.075511
0.862138,1.120314
0.862138,1.128694
0.862138,1.100975
0.864716,1.049081
0.863104,0.995899
0.860526,0.949163
0.863749,0.91113
0.860848,0.881799
0.860848,0.863104
0.860526,0.865683
0.859237,0.857625
0.85827,0.854402
0.858592,0.85279
0.855369,0.856658
0.858592,0.870195
0.85698,0.889857
0.854402,0.92789
0.85408,0.98494
0.853757,1.048759
0.854724,1.094851
0.854724,1.107421
0.852468,1.088404
0.855369,1.049081
0.85408,0.999767
0.853757,0.951419
0.851823,0.91113
0.854402,0.885667
0.851179,0.859559
0.852146,0.8486
0.851179,0.845377
0.849567,0.849567
0.849245,0.861493
0.850212,0.865038
0.848923,0.877609
0.847956,0.885667
0.852146,0.895014
0.849245,0.908229
0.850534,0.926601
0.848278,0.946907
0.850212,0.967213
0.847311,0.985907
0.849245,0.983651
0.849567,0.966568
0.849889,0.939171
0.846989,0.91113
0.847311,0.8847
0.846344,0.861815
0.847311,0.841509
0.843443,0.828617
0.847633,0.835385
0.847633,0.853757
0.846989,0.884377
0.847956,0.918221
0.848278,0.938527
0.850856,0.951097
0.846989,0.972048
0.845055,0.98075
0.846022,0.98913
0.847311,0.995577
0.843443,1.000412
0.847311,1.006858
0.844088,1.01266
0.845377,1.016205
0.843765,1.010403
0.843121,0.998478
0.844088,0.984618
0.845055,0.962378
0.84441,0.931758
0.846666,0.900171
0.843443,0.870518
0.843443,0.840865
0.844732,0.812501
0.84441,0.802509
0.842476,0.781236
0.843121,0.782848
0.843765,0.791872
0.844732,0.812501
0.842154,0.843121
0.842154,0.869873
0.844088,0.914353
0.842154,0.962378
,
2,
100,100
20-10-23,20-10-23
27:29.9,27:29.9
Volts,Volts
Time,Time
1.10E+00,1.10E+00
0.001,0.001
,
Voltage,Voltage_0
0.844732,1.018461
0.84441,1.067776
0.842476,1.088404
0.84441,1.072611
0.843121,1.02942
0.846989,0.972048
0.843443,0.921444
0.842798,0.868262
0.840542,0.830228
0.840865,0.80541
0.840865,0.796385
0.841187,0.801542
0.842154,0.809278
0.841832,0.833451
0.839575,0.867939
0.840542,0.912097
0.842798,0.973015
0.842476,1.057139
0.842798,1.145132
0.841509,1.216687
0.842798,1.253753
0.841187,1.247951
0.842154,1.212819
0.839898,1.166405
0.839898,1.103875
0.839575,1.025552
0.838608,0.959155
0.838931,0.911774
0.838931,0.876319
0.837964,0.85408
0.838286,0.847956
0.837641,0.846344
0.837319,0.864394
0.835708,0.880832
0.841509,0.892435
0.839575,0.905328
0.838608,0.925956
0.836352,0.951097
0.837319,0.980428
0.836352,1.013304
0.836997,1.03361
0.838931,1.043602
0.836997,1.031999
0.834741,0.995899
0.836352,0.948518
0.835385,0.903716
0.837319,0.869873
0.836352,0.841509
0.834741,0.829261
0.834418,0.832162
0.836674,0.846344
0.835063,0.869551
0.835063,0.900816
